,Name,Blue channel max. intensity,Green channel max. intensity,Red channel max. intensity,Concentration
0,H 10-2,233.0,241.0,241.0,0.01
1,H 10-3,178.0,184.0,183.0,0.001
2,H 10-4,186.0,193.0,190.0,0.0001
3,H 10-5,224.0,255.0,254.0,1e-05
4,H 10-6,234.0,253.0,255.0,1e-06
5,H 10-7,192.0,201.0,205.0,1e-07
6,H 10-8,176.0,177.0,177.0,1e-08
7,H 10-9,177.0,178.0,178.0,1e-09
